Variable,YEAR,SEMESTRE,Clase,Total
TIPO_NIVEL,2009,1,Postgrado,1498
TIPO_NIVEL,2009,1,Pregrado,3458
TIPO_NIVEL,2009,2,Postgrado,908
TIPO_NIVEL,2009,2,Pregrado,2200
TIPO_NIVEL,2010,1,Postgrado,1478
TIPO_NIVEL,2010,1,Pregrado,3795
TIPO_NIVEL,2010,2,Postgrado,967
TIPO_NIVEL,2010,2,Pregrado,2395
TIPO_NIVEL,2011,1,Postgrado,1431
TIPO_NIVEL,2011,1,Pregrado,2918
TIPO_NIVEL,2011,2,Postgrado,1259
TIPO_NIVEL,2011,2,Pregrado,2058
TIPO_NIVEL,2012,1,Postgrado,1191
TIPO_NIVEL,2012,1,Pregrado,2082
TIPO_NIVEL,2012,2,Postgrado,2024
TIPO_NIVEL,2012,2,Pregrado,2837
TIPO_NIVEL,2013,1,Postgrado,905
TIPO_NIVEL,2013,1,Pregrado,2274
TIPO_NIVEL,2013,2,Postgrado,1658
TIPO_NIVEL,2013,2,Pregrado,2741
TIPO_NIVEL,2014,1,Postgrado,1844
TIPO_NIVEL,2014,1,Pregrado,2341
TIPO_NIVEL,2014,2,Postgrado,1769
TIPO_NIVEL,2014,2,Pregrado,2583
TIPO_NIVEL,2015,1,Postgrado,1713
TIPO_NIVEL,2015,1,Pregrado,2555
TIPO_NIVEL,2015,2,Postgrado,1721
TIPO_NIVEL,2015,2,Pregrado,2910
TIPO_NIVEL,2016,1,Postgrado,1867
TIPO_NIVEL,2016,1,Pregrado,2839
TIPO_NIVEL,2016,2,Postgrado,1834
TIPO_NIVEL,2016,2,Pregrado,2868
TIPO_NIVEL,2017,1,Postgrado,2220
TIPO_NIVEL,2017,1,Pregrado,3062
TIPO_NIVEL,2017,2,Postgrado,1839
TIPO_NIVEL,2017,2,Pregrado,2960
TIPO_NIVEL,2018,1,Postgrado,2106
TIPO_NIVEL,2018,1,Pregrado,3018
TIPO_NIVEL,2018,2,Postgrado,2165
TIPO_NIVEL,2018,2,Pregrado,2937
TIPO_NIVEL,2019,1,Postgrado,1678
TIPO_NIVEL,2019,1,Pregrado,1012
TIPO_NIVEL,2019,2,Postgrado,2395
TIPO_NIVEL,2019,2,Pregrado,4601
TIPO_NIVEL,2020,1,Postgrado,1963
TIPO_NIVEL,2020,1,Pregrado,2963
TIPO_NIVEL,2020,2,Postgrado,1807
TIPO_NIVEL,2020,2,Pregrado,2006
NIVEL,2009,1,Doctorado,24
NIVEL,2009,1,Especialidades médicas,97
NIVEL,2009,1,Especialización,849
NIVEL,2009,1,Maestría,528
NIVEL,2009,1,Pregrado,3458
NIVEL,2009,2,Doctorado,35
NIVEL,2009,2,Especialidades médicas,11
NIVEL,2009,2,Especialización,452
NIVEL,2009,2,Maestría,410
NIVEL,2009,2,Pregrado,2200
NIVEL,2010,1,Doctorado,53
NIVEL,2010,1,Especialidades médicas,94
NIVEL,2010,1,Especialización,745
NIVEL,2010,1,Maestría,586
NIVEL,2010,1,Pregrado,3795
NIVEL,2010,2,Doctorado,29
NIVEL,2010,2,Especialidades médicas,10
NIVEL,2010,2,Especialización,480
NIVEL,2010,2,Maestría,448
NIVEL,2010,2,Pregrado,2395
NIVEL,2011,1,Doctorado,44
NIVEL,2011,1,Especialidades médicas,107
NIVEL,2011,1,Especialización,681
NIVEL,2011,1,Maestría,599
NIVEL,2011,1,Pregrado,2918
NIVEL,2011,2,Doctorado,53
NIVEL,2011,2,Especialidades médicas,4
NIVEL,2011,2,Especialización,474
NIVEL,2011,2,Maestría,728
NIVEL,2011,2,Pregrado,2058
NIVEL,2012,1,Doctorado,23
NIVEL,2012,1,Especialidades médicas,103
NIVEL,2012,1,Especialización,621
NIVEL,2012,1,Maestría,444
NIVEL,2012,1,Pregrado,2082
NIVEL,2012,2,Doctorado,67
NIVEL,2012,2,Especialidades médicas,31
NIVEL,2012,2,Especialización,809
NIVEL,2012,2,Maestría,1117
NIVEL,2012,2,Pregrado,2837
NIVEL,2013,1,Doctorado,30
NIVEL,2013,1,Especialidades médicas,102
NIVEL,2013,1,Especialización,478
NIVEL,2013,1,Maestría,295
NIVEL,2013,1,Pregrado,2274
NIVEL,2013,2,Doctorado,50
NIVEL,2013,2,Especialidades médicas,27
NIVEL,2013,2,Especialización,660
NIVEL,2013,2,Maestría,921
NIVEL,2013,2,Pregrado,2741
NIVEL,2014,1,Doctorado,79
NIVEL,2014,1,Especialidades médicas,109
NIVEL,2014,1,Especialización,763
NIVEL,2014,1,Maestría,893
NIVEL,2014,1,Pregrado,2341
NIVEL,2014,2,Doctorado,48
NIVEL,2014,2,Especialidades médicas,35
NIVEL,2014,2,Especialización,786
NIVEL,2014,2,Maestría,900
NIVEL,2014,2,Pregrado,2583
NIVEL,2015,1,Doctorado,63
NIVEL,2015,1,Especialidades médicas,110
NIVEL,2015,1,Especialización,754
NIVEL,2015,1,Maestría,786
NIVEL,2015,1,Pregrado,2555
NIVEL,2015,2,Doctorado,94
NIVEL,2015,2,Especialidades médicas,28
NIVEL,2015,2,Especialización,672
NIVEL,2015,2,Maestría,927
NIVEL,2015,2,Pregrado,2910
NIVEL,2016,1,Doctorado,72
NIVEL,2016,1,Especialidades médicas,112
NIVEL,2016,1,Especialización,857
NIVEL,2016,1,Maestría,826
NIVEL,2016,1,Pregrado,2839
NIVEL,2016,2,Doctorado,96
NIVEL,2016,2,Especialidades médicas,35
NIVEL,2016,2,Especialización,781
NIVEL,2016,2,Maestría,922
NIVEL,2016,2,Pregrado,2868
NIVEL,2017,1,Doctorado,89
NIVEL,2017,1,Especialidades médicas,136
NIVEL,2017,1,Especialización,979
NIVEL,2017,1,Maestría,1016
NIVEL,2017,1,Pregrado,3062
NIVEL,2017,2,Doctorado,110
NIVEL,2017,2,Especialidades médicas,26
NIVEL,2017,2,Especialización,811
NIVEL,2017,2,Maestría,892
NIVEL,2017,2,Pregrado,2960
NIVEL,2018,1,Doctorado,98
NIVEL,2018,1,Especialidades médicas,128
NIVEL,2018,1,Especialización,948
NIVEL,2018,1,Maestría,932
NIVEL,2018,1,Pregrado,3018
NIVEL,2018,2,Doctorado,128
NIVEL,2018,2,Especialidades médicas,35
NIVEL,2018,2,Especialización,908
NIVEL,2018,2,Maestría,1094
NIVEL,2018,2,Pregrado,2937
NIVEL,2019,1,Doctorado,111
NIVEL,2019,1,Especialidades médicas,96
NIVEL,2019,1,Especialización,675
NIVEL,2019,1,Maestría,796
NIVEL,2019,1,Pregrado,1012
NIVEL,2019,2,Doctorado,176
NIVEL,2019,2,Especialidades médicas,42
NIVEL,2019,2,Especialización,1087
NIVEL,2019,2,Maestría,1090
NIVEL,2019,2,Pregrado,4601
NIVEL,2020,1,Doctorado,125
NIVEL,2020,1,Especialidades médicas,130
NIVEL,2020,1,Especialización,839
NIVEL,2020,1,Maestría,869
NIVEL,2020,1,Pregrado,2963
NIVEL,2020,2,Doctorado,141
NIVEL,2020,2,Especialidades médicas,23
NIVEL,2020,2,Especialización,786
NIVEL,2020,2,Maestría,857
NIVEL,2020,2,Pregrado,2006
