"Variable","YEAR","Clase","n","Componente","Total","desv"
"sede",2019,"Bogotá",3146,"Cuantitativo",189.13,27.75
"sede",2019,"Bogotá",3146,"Lectura",188.47,25.61
"sede",2019,"Bogotá",3146,"Competencias",183.13,29.86
"sede",2019,"Bogotá",3146,"Inglés",193.18,26.84
"sede",2019,"Bogotá",3146,"Comunicación",162.59,33.14
"sede",2019,"Bogotá",3146,"Global",183.3,17.98
"sede",2019,"Medellín",1161,"Cuantitativo",195.77,28.9
"sede",2019,"Medellín",1161,"Lectura",179.54,27.75
"sede",2019,"Medellín",1161,"Competencias",172.01,32.21
"sede",2019,"Medellín",1161,"Inglés",185.54,27.86
"sede",2019,"Medellín",1161,"Comunicación",155.73,30.65
"sede",2019,"Medellín",1161,"Global",177.73,18.59
"sede",2019,"Manizales",584,"Cuantitativo",180.52,25.97
"sede",2019,"Manizales",584,"Lectura",166.71,28.38
"sede",2019,"Manizales",584,"Competencias",158.99,32.15
"sede",2019,"Manizales",584,"Inglés",171.94,26.72
"sede",2019,"Manizales",584,"Comunicación",150.39,26.47
"sede",2019,"Manizales",584,"Global",165.71,17.95
"sede",2019,"Palmira",298,"Cuantitativo",163.28,25.97
"sede",2019,"Palmira",298,"Lectura",160.92,28.38
"sede",2019,"Palmira",298,"Competencias",153.65,32.15
"sede",2019,"Palmira",298,"Inglés",159.31,26.72
"sede",2019,"Palmira",298,"Comunicación",147.21,26.47
"sede",2019,"Palmira",298,"Global",156.86,17.95
"sexo",2019,"M",3309,"Cuantitativo",191.26,28.85
"sexo",2019,"M",3309,"Lectura",180.98,28.55
"sexo",2019,"M",3309,"Competencias",176.26,33.75
"sexo",2019,"M",3309,"Inglés",187.99,29.11
"sexo",2019,"M",3309,"Comunicación",157.59,32.3
"sexo",2019,"M",3309,"Global",178.82,19.83
"sexo",2019,"F",1880,"Cuantitativo",182.72,27.47
"sexo",2019,"F",1880,"Lectura",185,26.56
"sexo",2019,"F",1880,"Competencias",176.19,29.47
"sexo",2019,"F",1880,"Inglés",185.64,27.87
"sexo",2019,"F",1880,"Comunicación",160.93,31.3
"sexo",2019,"F",1880,"Global",178.1,19.37
"total",2019,"Total IES",232279,"Cuantitativo",146.95,31.49
"total",2019,"Total IES",232279,"Lectura",149.32,31.19
"total",2019,"Total IES",232279,"Competencias",143.26,32.99
"total",2019,"Total IES",232279,"Inglés",152.78,31.28
"total",2019,"Total IES",232279,"Comunicación",148.67,27.31
"total",2019,"Total IES",232279,"Global",148.2,22.5
